state,city,full_address,price,atmb_link,gmaps_link
AL,Birmingham,"120 19th Street North, Birmingham, AL 35203",$39.00,https://www.anytimemailbox.com/s/birmingham-120-19th-street-north,https://www.google.com/maps/place/120+19th+Street+North%2C+Birmingham%2C+AL+35203
AR,Bentonville,"1200 SE 14th St, Bentonville, AR 72712",$11.99,https://www.anytimemailbox.com/s/bentonville-1200-se-14th-street,https://www.google.com/maps/place/1200+SE+14th+St%2C+Bentonville%2C+AR+72712
AZ,Gilbert,"1525 S. Higley Rd, Gilbert, AZ 85296",$16.99,https://www.anytimemailbox.com/s/gilbert-1525-s-higley-road,https://www.google.com/maps/place/1525+S.+Higley+Rd%2C+Gilbert%2C+AZ+85296
CA,Anaheim,"201 E Center St, Anaheim, CA 92805",$7.99,https://www.anytimemailbox.com/s/anaheim-201-e-center-street,https://www.google.com/maps/place/201+E+Center+St%2C+Anaheim%2C+CA+92805
CA,Irvine,"92 Corporate Park, Irvine, CA 92606",$8.89,https://www.anytimemailbox.com/s/irvine-92-corporate-park,https://www.google.com/maps/place/92+Corporate+Park%2C+Irvine%2C+CA+92606
CA,Irvine,"17595 Harvard Ave, Irvine, CA 92614",$8.99,https://www.anytimemailbox.com/s/irvine-17595-harvard-avenue,https://www.google.com/maps/place/17595+Harvard+Ave%2C+Irvine%2C+CA+92614
CA,Arcadia,"411 E Huntington Dr, Arcadia, CA 91006",$9.99,https://www.anytimemailbox.com/s/arcadia-411-e-huntington-drive,https://www.google.com/maps/place/411+E+Huntington+Dr%2C+Arcadia%2C+CA+91006
CA,Fontana,"14050 Cherry Ave, Fontana, CA 92337",$9.99,https://www.anytimemailbox.com/s/fontana-14050-cherry-avenue,https://www.google.com/maps/place/14050+Cherry+Ave%2C+Fontana%2C+CA+92337
CA,Riverside,"19510 Van Buren Blvd, Riverside, CA 92508",$9.99,https://www.anytimemailbox.com/s/riverside-19510-van-buren-blvd,https://www.google.com/maps/place/19510+Van+Buren+Blvd%2C+Riverside%2C+CA+92508
CA,Temecula,"30650 Rancho California Rd, Temecula, CA 92591",$9.99,https://www.anytimemailbox.com/s/temecula-30650-rancho-california-road,https://www.google.com/maps/place/30650+Rancho+California+Rd%2C+Temecula%2C+CA+92591
CA,Vista,"770 Sycamore Ave, Vista, CA 92083",$9.99,https://www.anytimemailbox.com/s/vista-770-sycamore-avenue,https://www.google.com/maps/place/770+Sycamore+Ave%2C+Vista%2C+CA+92083
CA,Arcadia,"145 E Duarte Rd, Arcadia, CA 91006",$11.99,https://www.anytimemailbox.com/s/arcadia-145-e-duarte-road,https://www.google.com/maps/place/145+E+Duarte+Rd%2C+Arcadia%2C+CA+91006
CA,Bakersfield,"6077 Coffee Rd, Bakersfield, CA 93308",$14.99,https://www.anytimemailbox.com/s/bakersfield-6077-coffee-road,https://www.google.com/maps/place/6077+Coffee+Rd%2C+Bakersfield%2C+CA+93308
CA,"La Jolla","7514 Girard Ave, La Jolla, CA 92037",$14.99,https://www.anytimemailbox.com/s/la-jolla-7514-girard-ave,https://www.google.com/maps/place/7514+Girard+Ave%2C+La+Jolla%2C+CA+92037
CA,"San Diego","1501 India St, San Diego, CA 92101",$14.99,https://www.anytimemailbox.com/s/san-diego-1501-india-street,https://www.google.com/maps/place/1501+India+St%2C+San+Diego%2C+CA+92101
CA,"San Diego","2907 Shelter Island Drive, San Diego, CA 92106",$15.99,https://www.anytimemailbox.com/s/san-diego-2907-shelter-island-drive,https://www.google.com/maps/place/2907+Shelter+Island+Drive%2C+San+Diego%2C+CA+92106
CA,"San Diego","1111 6th Ave, San Diego, CA 92101",$19.99,https://www.anytimemailbox.com/s/san-diego-1111-6th-ave,https://www.google.com/maps/place/1111+6th+Ave%2C+San+Diego%2C+CA+92101
CO,Denver,"2000 S. Colorado Blvd., Denver, CO 80222",$31.49,https://www.anytimemailbox.com/s/denver-2000-s-colorado-blvd,https://www.google.com/maps/place/2000+S.+Colorado+Blvd.%2C+Denver%2C+CO+80222
DC,Washington,"1930 18th St NW, Washington, DC 20009",$14.95,https://www.anytimemailbox.com/s/washington-1930-18th-street-nw,https://www.google.com/maps/place/1930+18th+St+NW%2C+Washington%2C+DC+20009
DC,Washington,"6218 Georgia Ave N.W., Washington, DC 20011",$14.99,https://www.anytimemailbox.com/s/washington-6218-georgia-avenue-nw,https://www.google.com/maps/place/6218+Georgia+Ave+N.W.%2C+Washington%2C+DC+20011
DE,Wilmington,"1401 Pennsylvania Ave, Wilmington, DE 19806",$8.99,https://www.anytimemailbox.com/s/wilmington-1401-pennsylvania-ave,https://www.google.com/maps/place/1401+Pennsylvania+Ave%2C+Wilmington%2C+DE+19806
FL,"Boca Raton","8903 Glades Rd, Boca Raton, FL 33434",$7.99,https://www.anytimemailbox.com/s/boca-raton-8903-glades-road,https://www.google.com/maps/place/8903+Glades+Rd%2C+Boca+Raton%2C+FL+33434
FL,"Lake Worth","8927 Hypoluxo Rd, Lake Worth, FL 33467",$9.99,https://www.anytimemailbox.com/s/lake-worth-8927-hypoluxo-road,https://www.google.com/maps/place/8927+Hypoluxo+Rd%2C+Lake+Worth%2C+FL+33467
